a,b,c,d,e,f,g
0.4954183833,0.3297381881,0.2932407139,0.02842338095,0.4759333559,0.7594264204,0.3236823937
0.5026426162,0.185984175,0.00866807696,0.5512622127,0.7320276724,0.7520081776,0.9178170821
0.6186788191,0.1282450948,0.8867767655,0.1661385122,0.2057828576,0.4093725035,0.9722139397
0.06514054485,0.6080320633,0.7435069741,0.6577855885,0.803168158,0.04530228169,0.1763110546
0.6620492115,0.794182805,0.3398304601,0.8893095116,0.3032543627,0.230446102,0.002912014264
0.1588053262,0.1919292768,0.1305716987,0.4899479707,0.495503264,0.9909808294,0.2034833497
0.9397333853,0.3706123866,0.3847117377,0.8566751618,0.2103095096,0.00205516621,0.6183405489
0.6249081158,0.5825596751,0.3152293868,0.4419221031,0.1007771695,0.1736406693,0.4999987896
0.200544387,0.5342630898,0.1446253486,0.3425450505,0.7734402904,0.2820705619,0.3933377813
0.7091898273,0.06428828239,0.01454241587,0.9062728767,0.9555054321,0.5902051131,0.7524085849
0.2242949272,0.8301242903,0.3613182398,0.7159368945,0.3560875808,0.05527780755,0.3602506791
0.4557333217,0.4030844815,0.3670905932,0.7346703613,0.8629650943,0.7403171833,0.9656476172
0.9266542481,0.6314026067,0.01295473871,0.09845098583,0.190109421,0.1453973781,0.2681800185
0.8832768229,0.7551150799,0.9591323263,0.5033631508,0.3005589472,0.5961066579,0.5521853376
0.1385897429,0.9597785761,0.8441382865,0.9267560488,0.218346064,0.876247761,0.2936399626
0.1481894531,0.7426859302,0.4400011232,0.5355747673,0.6198801892,0.006059048593,0.1596772025
0.80938537,0.5083753283,0.6769716586,0.434030301,0.4525357061,0.834160466,0.3229812638
0.2583344963,0.7261338725,0.8237960865,0.408792727,0.3740688652,0.903988557,0.4676508064
0.7940216515,0.5914621079,0.6641504699,0.5888303173,0.03250404851,0.9505964862,0.6817988143
